C1-28,C,C1,"Product gaps: no password reset, email verification or account deletion; the last one matters for privacy obligations",,investigate,,,,,,C16,
C1-29,C,C1,"The untracked .claude/settings.json allows npx, node and pnpm install and mentions tools this repo doesn't use",,investigate,,,,,,HARNESS,
C2-01,C,C2,The documented default JWT_SECRET is a public secret that passes validation,,fix,src/lib/auth.ts,9,,,,C04,
C2-02,C,C2,"a missing secret throws inside proxy.ts on every /ideas request, so users get a 500",,fix,proxy.ts,,,,,C27,
C2-03,C,C2,There is no brute-force or abuse protection on auth; bcryptjs cost 12 took about 400 ms of CPU per hash here,,fix,,,,,,C57,
C2-04,C,C2,Existing accounts can be detected: distinct 409 on register; login returns early with no bcrypt work,,fix,register/route.ts:21; login/route.ts:20,,,,,C11,
C2-05,C,C2,Passwords longer than 72 bytes are silently truncated (confirmed),,fix,,,,,,C44,
C2-06,C,C2,"There is no production migration path: only prisma migrate dev; no migrate deploy, Dockerfile or CI; README deploy story is pnpm dev",,fix,,,,,,C09,
C2-07,C,C2,Sessions can't be revoked: logout only clears the cookie; JWT valid 30 days; no server-side session or version check,,fix,,,,,,C20,
C2-08,C,C2,"no password reset, email verification, password change or account deletion; deletion and export matter if you hold real users' data",,fix,,,,,,C16,
C2-09,C,C2,"Zero tests and no CI. Highest-value tests: ownership checks on every [id] route, share-token revoke and rotate, and score validation",,fix,,,,,,C68,
C2-10,C,C2,Prediction scores can be edited after the outcome is recorded; PATCH accepts the four scores at any time and keeps no history; undermines the point of the app,,should,,,,,,C26,
C2-11,C,C2,PATCH accepts inconsistent states: DONE/ABANDONED with no outcome; back to ACTIVE with hindsight remaining; calibration keys off hindsightTotal,,should,,,,,,C05,
C2-12,C,C2,"Ownership checks are separate from the writes: findFirst({id,userId}) then update/delete({where:{id}}); concurrent delete gives unhandled P2025 500",,should,,,,,,C06,
C2-13,C,C2,Registration has a race: findUnique then create; P2002 unhandled 500,,should,,,,,,C27,
C2-14,C,C2,"No route wraps Prisma calls in try/catch, so any DB error is an opaque 500 with no logging",,should,,,,,,C21,
C2-15,C,C2,"There are no security headers: no CSP, HSTS, X-Frame-Options/frame-ancestors, Referrer-Policy or poweredByHeader: false",,should,next.config.ts,,,,,C33,
C2-16,C,C2,"The share page has no robots: noindex, and its token sits in the URL; an unlisted link posted publicly can be indexed",,should,,,,,,C67,
C2-17,C,C2,Client error handling is thin: every fetch lacks try/catch; delete and share-control actions fail silently; clipboard rejections unhandled,,should,idea-detail.tsx,79,,,,C76,
C2-18,C,C2,Sharing exposes more than the UI says: /s/[token] and /api/share/[token] include the outcome text and hindsight scores; the UI says only anyone with the link can view this idea,,should,,,,,,C78,
C2-19,C,C2,"every page renders SiteHeader, which reads the session and queries the DB, so every route is dynamic; public pages get a DB query per view and can't be cached",,investigate,,,,,,C63,
C2-20,C,C2,"No pagination: /ideas and GET /api/ideas load all of a user's ideas including 5,000-character fields and sort in memory",,investigate,,,,,,C43,
C2-21,C,C2,Possible hydration mismatch: share-control.tsx branches on typeof window,,investigate,share-control.tsx,18,,,,C72,
C2-22,C,C2,docker-compose.yml: Postgres published on all interfaces with idealog/idealog credentials,,investigate,docker-compose.yml,,,,,C35,
C2-23,C,C2,"pnpm audit: one high advisory, deepmerge-ts <8.0.0, reached only through the Prisma CLI; low risk",,investigate,,,,,,C24,
C2-24,C,C2,Idea_userId_idx is redundant with Idea_userId_status_idx,,investigate,,,,,,C75,
C2-25,C,C2,jwtVerify should pass { algorithms: ['HS256'] } explicitly,,investigate,,,,,,C19,
C2-26,C,C2,"The secure cookie flag depends on NODE_ENV, so a plain-HTTP production deploy fails silently at login",,investigate,,,,,,C30,
C2-27,C,C2,"The proxy builds its redirect from req.url, which can be the wrong host behind some reverse proxies",,investigate,,,,,,C39,
C2-28,C,C2,"The README has a typo, unshareable/unguessable",,investigate,README.md,,,,,C45,
C2-29,C,C2,tsc --noEmit alone fails on LayoutProps because that type is generated by next build or next typegen,,investigate,,,,,,C13,
C2-30,C,C2,".claude/settings.json (untracked) allows unprompted npx, node, pnpm install and pnpm exec; references tools that don't exist here",,investigate,,,,,,HARNESS,
C3-01,C,C3,tsc --noEmit fails on a fresh checkout (LayoutProps not found) until next build or next typegen has run,,checks,src/app/layout.tsx,21,,,,C13,
C3-02,C,C3,"pnpm audit reports one high finding: deepmerge-ts via the Prisma CLI, dev-time only",,checks,,,,,,C24,
C3-03,C,C3,"The placeholder JWT_SECRET passes validation; getSecretKey only rejects secrets under 16 characters; the check runs on the first request, not at boot",,fix,src/lib/auth.ts,8,,,,C04,
C3-04,C,C3,"No brute-force protection on the auth endpoints; every attempt costs a bcrypt hash at cost 12, a cheap CPU-exhaustion vector",,fix,,,,,,C57,
C3-05,C,C3,Login skips the hash when the email doesn't exist so timing reveals registered emails; register returns a distinct 409,,fix,login/route.ts,22,,,,C11,
C3-06,C,C3,Registration race returns a 500: findUnique then create; P2002 unhandled,,fix,register/route.ts,,,,,C27,
C3-07,C,C3,"none of the routes have a try/catch, so other DB errors surface as raw 500s too",,fix,,,,,,C21,
C3-08,C,C3,"The edit endpoint can break the calibration data: set status DONE/ABANDONED with no outcome, or back to ACTIVE while outcome and hindsight stay",,fix,,,,,,C05,
C3-09,C,C3,"rewrite the prediction scores after hindsight is recorded, which defeats the were-my-predictions-right purpose; Edit stays available after an outcome is recorded",,fix,,,,,,C26,
C3-10,C,C3,"send {} to PATCH /api/ideas/[id] and succeed, doing nothing",,fix,,,,,,C79,
C3-11,C,C3,"Sessions can't be revoked: JWT valid 30 days, logout only clears the browser cookie",,fix,,,,,,C20,
C3-12,C,C3,"no password reset, password change or account deletion",,fix,,,,,,C16,
C3-13,C,C3,bcrypt silently truncates at 72 bytes (confirmed) while the schema accepts up to 200,,fix,,,,,,C44,
C3-14,C,C3,No production deploy path: only prisma migrate dev; production needs migrate deploy; no Dockerfile,,fix,,,,,,C09,
C3-15,C,C3,"There is no Dockerfile, CI, health endpoint or tests",,fix,,,,,,C68|C71,
C3-16,C,C3,docker-compose.yml publishes Postgres on 5432 with idealog/idealog credentials,,fix,docker-compose.yml,,,,,C35,
C3-17,C,C3,"next.config.ts sets no security headers: CSP, X-Content-Type-Options, frame-ancestors, Referrer-Policy",,fix,next.config.ts,,,,,C33,
C3-18,C,C3,/s/[token] has no robots: noindex,,should,,,,,,C67,
C3-19,C,C3,/s/[token] has no Referrer-Policy: no-referrer; the token is in the URL so it can leak to any site the viewer navigates to,,should,,,,,,C46,
C3-20,C,C3,The public endpoints aren't rate limited,,should,,,,,,C57,
C3-21,C,C3,"/api/share/[token] duplicates the page's data logic, and no component I read calls it",,should,,,,,,C01,
C3-22,C,C3,CSRF: protection relies on SameSite=lax alone; no Origin check; routes parse JSON without checking Content-Type,,should,,,,,,C07,
C3-23,C,C3,Unbounded reads: GET /api/ideas and /ideas load every idea with full descriptions and sort in JS,,should,,,,,,C43,
C3-24,C,C3,Silent failures in the client: fetch isn't wrapped in try/catch in the forms; delete and share failures ignored; clipboard unguarded,,should,,,,,,C76,
C3-25,C,C3,Raw Zod messages reach users,,should,,,,,,C70,
C3-26,C,C3,No error pages: no error.tsx or custom not-found.tsx,,should,,,,,,C21,
C3-27,C,C3,Invalid ?status= is ignored: silently returns all ideas instead of a 400,,should,,,,,,C28,
C3-28,C,C3,README typo: unshareable/unguessable link,,minor,README.md,,,,,C45,
C3-29,C,C3,"The score CHECK constraints exist only in raw SQL, not in schema.prisma; say so in the README",,minor,,,,,,C75,
C3-30,C,C3,.claude/settings.json is untracked and allowlists tools this repo doesn't use,,minor,,,,,,HARNESS,
