B1-26,B,B1,test-reviewer,Status can reach DONE without outcome data,correctness,low,src/app/api/ideas/[id]/route.ts,37-40,"PATCH can set status to DONE or ABANDONED with no outcome or hindsight scores recorded, bypassing the outcome flow.",,Decide and enforce the intended status/outcome transition rules.,status-outcome-inconsistency-db
B1-27,B,B1,docs-reviewer,Secure cookie flag may break plain-HTTP deploys,security,low,src/lib/session.ts,17,"The session cookie is secure whenever NODE_ENV=production, which may break sessions when pnpm start runs over plain HTTP, notably in Safari (security-reviewer only confirmed the flags are correct).",Logins may silently fail to persist when the app is run in production mode without HTTPS.,Document the HTTPS requirement or make the secure flag configurable.,secure-cookie-breaks-plain-http
B1-28,B,B1,infra-reviewer,README Node version claim has no engines field,docs,low,README.md,,The README says 'Node 20+' but package.json has no engines field to enforce it.,,Add an engines field to package.json.,readme-engines-field-missing
B1-29,B,B1,scope-reviewer,No ADRs for key architecture decisions,docs,low,docs/decisions/,,"No ADRs exist for Postgres via Prisma, the hand-rolled JWT session with jose and bcryptjs, public share-by-token links, or scores enforced in both Zod and the database (docs-reviewer only partly covered it, asking for an ADR just for the session model).",,Write ADRs for each hard-to-reverse architectural choice.,no-adr-for-key-decisions
B1-30,B,B1,orchestrator,Scope PASS means nothing was checked,meta,informational,,,"No engagement/ or docs/decisions/ folder exists, so scope-reviewer's PASS means the scope check could not be run at all.",,,meta-scope-not-checked
B1-31,B,B1,orchestrator,No git or shell tools for several agents,meta,informational,,,"Security-reviewer had no git or shell tools, and infra-reviewer and test-reviewer had Bash denied partway through, so reviews were done by reading files rather than running git diff.",,,meta-tools-not-run
B1-32,B,B1,security-reviewer,Security/infra scanners did not run,meta,informational,,,"gitleaks, semgrep, pnpm audit, actionlint, checkov, tflint and hadolint did not run, git history was not scanned, and dependencies were not audited for vulnerabilities; security-reviewer substituted a manual regex grep for secrets instead.",,,meta-security-tools-not-run
B1-33,B,B1,infra-reviewer,Some files were not read by reviewers,meta,informational,,,"Infra-reviewer did not read the two migration SQL files, and test-reviewer did not read the React components or pages.",,,meta-files-not-read
B1-34,B,B1,orchestrator,No CI/IaC present so those checks don't apply,meta,informational,,,"There are no CI workflows, Dockerfiles, Terraform or deploy scripts, so CI-specific checks like permissions blocks, action pinning and static cloud keys don't apply.",,,meta-ci-infra-not-applicable
B1-35,B,B1,security-reviewer,Authorization checks look sound,security,informational,,,"Every mutating idea route calls requireUser() and scopes queries by userId, Zod strips unknown keys, share tokens are nanoid(24), and the public payload omits userId, email and shareToken; no dangerouslySetInnerHTML or raw SQL was found.",,,security-checks-sound-positive
B1-36,B,B1,infra-reviewer,Docker restart policy and image tag noted,infra,informational,docker-compose.yml,,"restart: unless-stopped brings the dev database back after every reboot, and the postgres:16-alpine tag floats across minor versions, which is acceptable for local dev.",,,docker-restart-policy-and-tag-notes
B1-37,B,B1,orchestrator,Lockfile committed and package manager pinned,dependencies,informational,,,"pnpm-lock.yaml is committed and packageManager is pinned, giving reproducible installs.",,,reproducible-installs-lockfile-pinned
B1-38,B,B1,docs-reviewer,"Score CHECK constraints only live in migration, not schema",infra,informational,prisma/schema.prisma,33-40,"The CHECK constraints on score ranges live only in a hand-written migration, not in prisma/schema.prisma, so someone editing the schema won't see them.",,Add a comment near the score fields pointing to the migration.,db-schema-drift-missing-checks-redundant-index
B1-39,B,B1,test-reviewer,Single unreviewed commit context,meta,informational,,,"The single commit is 'raw generated build, unreviewed', so reviewers treated the whole tree as the change and read the absent tests as an omission.",,,meta-single-commit-context
B1-40,B,B1,orchestrator,Reviewers disagree on placeholder secret length,meta,informational,.env.example,2,Docs-reviewer counted the JWT_SECRET placeholder as 37 characters and security-reviewer counted 33; both exceed the 16-character minimum so the finding stands either way.,,,meta-secret-placeholder-length-discrepancy
B1-41,B,B1,orchestrator,Reviewers cite different line numbers,meta,informational,docker-compose.yml,,Reviewers gave slightly different line numbers for the Postgres port (docker-compose.yml:9 vs :11) and the migrate script (package.json:11 vs :13).,,,meta-line-number-discrepancy-citations
B2r-01,B,B2r,docs-reviewer,JWT_SECRET and DATABASE_URL undocumented,docs,high,.env.example,2,"JWT_SECRET and DATABASE_URL are not explained; nothing says they're required, that a short secret is rejected, or that a missing secret causes a 500 and a silent redirect.",A missing/placeholder JWT_SECRET causes login and register to 500 and src/proxy.ts to silently redirect to /login.,"Document each env var, state JWT_SECRET is required, and remove 'keep the defaults'.",jwt-secret-placeholder-accepted
B2r-02,B,B2r,docs-reviewer,No ADRs for hard-to-reverse choices,docs,high,docs/decisions/,,"No ADR exists for the hand-rolled JWT auth, Postgres/Prisma as the datastore, token-based public sharing, or computing scores on read.",,Write ADRs for auth and the datastore at minimum.,no-adr-for-key-decisions
B2r-03,B,B2r,test-reviewer,Scoring functions untested,tests,high,src/lib/scoring.ts,23,"The totals, hindsight total, and delta calculations have no tests.",,"Add unit tests, e.g. hindsightTotal with one null returns null.",no-tests-scoring
B2r-04,B,B2r,test-reviewer,Calibration function untested,tests,high,src/lib/calibration.ts,14,"computeCalibration's three branches (empty, fallback to predicted, fallback delta) have no tests.",,"Test empty list, mixed hindsight presence, and exact avgDelta/count.",no-tests-calibration
B2r-05,B,B2r,test-reviewer,Validation schemas untested,tests,high,src/lib/validation.ts,3,"The 1-5 ranges, trim/lowercase rules and outcomeSchema restriction are untested despite the README's claim of Zod enforcement.",,"Test boundaries 0/1/5/6, non-integers, email lowercasing, and outcome ACTIVE rejection.",no-tests-validation
B2r-06,B,B2r,test-reviewer,Ownership scoping untested,tests,high,src/app/api/ideas/[id]/route.ts,14,"Ownership scoping via findFirst({id,userId}) across GET/PATCH/DELETE, outcome, and share routes is untested.",,"Add a test where user B reads/patches/deletes user A's idea and gets 404, plus a no-session 401 test.",no-tests-ownership-scoping
B2r-07,B,B2r,test-reviewer,Share token lifecycle untested,tests,high,src/app/api/ideas/[id]/share/route.ts,21,"POST idempotency, regenerate rotation, and DELETE nulling the token are untested.",,"Assert token stability, rotation, and 404 after delete.",no-tests-share-tokens
B2r-08,B,B2r,test-reviewer,Public share payload untested,tests,high,src/app/api/share/[token]/route.ts,13,The allow-listed response and the unknown-token 404 branch are untested.,,"Assert a valid token returns the idea with no userId/id/shareToken, and an unknown token 404s.",no-tests-public-share-payload
B2r-09,B,B2r,test-reviewer,Outcome recording untested,tests,high,src/app/api/ideas/[id]/outcome/route.ts,26,"Recording an outcome and hindsight scores, the core feature, has no test.",,"Cover the happy path, ACTIVE rejected with 400, and out-of-range scores rejected with 400.",no-tests-outcome-recording
B2r-10,B,B2r,test-reviewer,DB CHECK constraints untested,tests,high,prisma/migrations/20260917213700_score_checks/migration.sql,3,"The DB-level CHECK constraints, half of the README's 'enforced in both places' claim, have no test.",,Add a DB-level test that an out-of-range insert is rejected.,no-tests-db-constraints
B2r-11,B,B2r,test-reviewer,Auth route branches untested,tests,high,src/app/api/auth/register/route.ts,19,"The register duplicate-409/400 branches, login's two 401 branches, and the success cookie are untested.",,Add tests for each branch.,no-tests-auth-routes
B2r-12,B,B2r,security-reviewer,JWT secret placeholder passes length check,security,medium,.env.example,2,"The placeholder JWT_SECRET passes the 16-character check and the README says to keep the defaults, so a deployed app can sign sessions with a publicly known key (also flagged by docs-reviewer).",A login cookie can be forged for any user whose id is known.,"Reject the placeholder at startup, or raise the minimum length to 32.",jwt-secret-placeholder-accepted
B2r-13,B,B2r,security-reviewer,No rate limiting on login or register,security,medium,src/app/api/auth/login/route.ts,19,"There is no rate limiting or lockout on login or register; bcrypt cost 12 does not stop credential stuffing, and registration allows unlimited account creation.",,Add per-IP and per-account throttling.,no-rate-limiting-bcrypt-cpu-cost
B2r-14,B,B2r,security-reviewer,Timing and 409 responses enumerate accounts,security,medium,src/app/api/auth/login/route.ts,20,"An unknown email returns 401 immediately while a known email runs bcrypt first, revealing registered emails by timing; register also returns an explicit 409 for existing emails.",,Run a dummy bcrypt.compare on the not-found path and decide whether the 409 is acceptable.,account-enumeration
B2r-15,B,B2r,security-reviewer,Postgres exposed with default creds,infra,medium,docker-compose.yml,9-10,Postgres binds 5432 on all interfaces with the trivial idealog/idealog credentials.,,"Bind to 127.0.0.1, or mark the file dev-only.",postgres-exposed-default-creds
B2r-16,B,B2r,infra-reviewer,Fixed Postgres port conflicts with local instance,infra,medium,docker-compose.yml,9-10,The fixed host port fails to start if a local Postgres is already running.,,"Make the port overridable, e.g. \${DB_PORT:-5432}:5432.",docker-postgres-port-not-configurable
B2r-17,B,B2r,infra-reviewer,No teardown for Postgres volume,infra,medium,package.json,11,There is a db:up script but no db:down; the idealog_pgdata volume survives docker compose down and nothing documents removing it.,,Add db:down (and optionally db:reset with -v) and document it.,docker-volume-no-teardown
B2r-18,B,B2r,infra-reviewer,No production migration or deploy path,infra,medium,README.md,64,"The production path is undefined: db:migrate is prisma migrate dev, so pnpm build && pnpm start against a fresh DB has no tables, and env vars/secure-cookie behavior for production aren't documented.",pnpm build && pnpm start against a fresh database yields an app with no tables.,Add a prisma migrate deploy step and a 'Running in production' section.,no-deployment-pipeline
B2r-19,B,B2r,docs-reviewer,No limitations section in README,docs,medium,README.md,,"There is no limitations section; it should list missing password reset, email verification, and that logout only clears the cookie so the JWT stays valid 30 days, plus no tests.",,Add a limitations section listing these gaps.,readme-no-limitations-section
B2r-20,B,B2r,docs-reviewer,API routes undocumented,docs,medium,README.md,46-57,"The routes table covers pages only; the 10 API handlers, including public GET /api/share/[token] and the regenerate body option, are undocumented.",,"Add an API table with method, path, auth and body.",readme-api-undocumented
B2r-21,B,B2r,test-reviewer,verifySessionToken untested,tests,medium,src/lib/auth.ts,41,"verifySessionToken returning null on bad signature, expiry or bad payload, which src/proxy.ts relies on, is untested.",,"Add tests for tampered, expired and wrong-secret tokens.",no-tests-session-verification
B2r-22,B,B2r,test-reviewer,"Status can reach DONE without outcome, untested",correctness,medium,src/app/api/ideas/[id]/route.ts,37,"PATCH passes parsed.data straight to the update, and ideaUpdateSchema allows status: DONE with no outcome or hindsight; no test pins the intended transitions.",,Decide the intended status/outcome transition behavior and pin it with a test.,status-outcome-inconsistency-db
B2r-23,B,B2r,test-reviewer,Invalid status filter silently ignored,correctness,medium,src/app/api/ideas/route.ts,13,"An invalid ?status= value is silently ignored and returns everything, and this plus the descending ranking sort are untested.",,Add tests for both behaviors.,invalid-status-filter-ignored
B2r-24,B,B2r,test-reviewer,Proxy redirect and route matching untested,tests,medium,src/proxy.ts,6,The unauthenticated-redirect branch and the /ideas prefix match are untested.,,Add a test pinning the redirect and prefix-match behavior.,no-tests-proxy-redirect
B2r-25,B,B2r,infra-reviewer,Proxy matcher only covers /ideas prefix,correctness,low,src/proxy.ts,5-6,"The proxy matcher is /ideas/:path*, so only the /ideas prefix is covered, and whether that gives full auth coverage was handed to security-reviewer, whose report doesn't address proxy.ts.",,,proxy-matcher-coverage-gap
B2r-26,B,B2r,security-reviewer,Security scanners did not run,meta,informational,,,"A Bash call was denied, so gitleaks, semgrep, pnpm audit and a tracked-secret-file check did not run; files were read by hand instead, so no secret scan of git history or dependency audit occurred.",,,meta-security-tools-not-run
B2r-27,B,B2r,infra-reviewer,Infra scanners not available or denied,meta,informational,,,"actionlint, tflint and hadolint are not installed, and checkov was denied by Bash permission, so it did not run; there are no workflows, Dockerfile or IaC in the change for most infra checks to apply to.",,,meta-infra-tools-not-run
B2r-28,B,B2r,test-reviewer,No test runner or coverage tooling,meta,informational,,,"There is no test runner, test files, test script or scripts/check.sh, so nothing was run and no coverage was measured.",,,meta-test-tools-not-run
B2r-29,B,B2r,docs-reviewer,"node_modules absent, Node version claim unchecked",meta,informational,,,"node_modules is absent, so the README's 'Node 20+' claim could not be checked.",,,meta-node-modules-absent
B2r-30,B,B2r,scope-reviewer,Scope check limited to working tree,meta,informational,,,"git ls-tree was denied, so scope-reviewer checked only the working tree for engagement/ and docs/decisions/.",,,meta-scope-not-checked
B2r-31,B,B2r,scope-reviewer,Scope PASS means no document to check against,meta,informational,,,"Neither engagement/ nor docs/decisions/ exists, so the PASS verdict means there was no scope document to check against, not that the change matches an agreed scope.",,,meta-scope-not-checked
B2r-32,B,B2r,infra-reviewer,Reviewers disagree on Postgres image tag pinning,meta,informational,docker-compose.yml,,"infra-reviewer said postgres:16-alpine is pinned to a major version, while security-reviewer's handoff called the same tag unpinned; neither treated it as a finding.",,,meta-agent-disagreement-postgres-tag
B2r-33,B,B2r,test-reviewer,Reviewers disagree on .env.example existing,meta,informational,.env.example,,"test-reviewer's handoff said ls showed no .env.example at the repo root, but security-reviewer and docs-reviewer both cite .env.example:2; it probably exists and was missed by an ls without -a.",,,meta-agent-disagreement-env-example-missing
B2r-34,B,B2r,security-reviewer,README typo noted by three agents,docs,informational,README.md,10,"security-reviewer flags 'unshareable/unguessable link' as a probable typo, docs-reviewer also noted it, and infra-reviewer cites the same phrase at line 11.",,Change to 'unguessable'.,readme-typo-unshareable-unguessable
B2r-35,B,B2r,orchestrator,Newer dependencies not vetted,dependencies,informational,,,"next@16.3.5, jose@^6.2.12, nanoid@^6.0.1 and zod@^4.6.5 are newer than security-reviewer could vouch for.",,Run pnpm audit.,dependencies-not-audited
B2r-36,B,B2r,security-reviewer,Authorization checks look sound,security,informational,,,"No missing ownership checks, no injection sinks, and no mass-assignment path were found; share tokens are nanoid(24), the public response is allow-listed, and the session cookie is httpOnly and sameSite lax.",,,security-checks-sound-positive
B2r-37,B,B2r,security-reviewer,Logout does not revoke the JWT,security,informational,src/lib/session.ts,,"Logout does not revoke the JWT, so a copied token remains valid until it naturally expires.",,,no-session-revocation-account-lifecycle
B2r-38,B,B2r,orchestrator,"Lockfile committed, env files gitignored",dependencies,informational,,,"pnpm-lock.yaml is committed and packageManager is pinned; .env* is gitignored except .env.example, which holds only placeholders.",,,reproducible-installs-lockfile-pinned
B2r-39,B,B2r,orchestrator,"Single initial commit, nothing removed",meta,informational,,,"No tests were removed or skipped, because this is a single initial commit.",,,meta-single-commit-context
B3-01,B,B3,docs-reviewer,JWT secret placeholder accepted,security,high,README.md,27,"JWT_SECRET is documented as 'fill in ... (or keep the defaults)', and the 33-character .env.example placeholder passes the >=16 length check, so an app run on defaults signs sessions with a publicly known key (security-reviewer flagged the code side).",An app deployed with the placeholder secret lets anyone forge a session cookie.,"Add an env-var section, generate-a-secret instructions, and reject the placeholder in code.",jwt-secret-placeholder-accepted
B3-02,B,B3,docs-reviewer,No ADRs for hard-to-reverse choices,docs,high,README.md,59,"Hand-rolled JWT auth, bearer-token share links, Postgres with raw-SQL CHECK constraints, and computing scores on read all lack ADRs, and docs/decisions/ doesn't exist (scope-reviewer noted the same gap informationally).",,Write at least one ADR for the auth/session model and one for share links.,no-adr-for-key-decisions
B3-03,B,B3,test-reviewer,No test runner or test script,tests,high,package.json,6,"There is no test script, no runner, and no test files in the tree, despite real logic and an authorization boundary.","Nothing would catch a regression in auth, scoring or ownership scoping.",Add a runner and a test script.,no-tests
B3-04,B,B3,test-reviewer,Scoring functions untested,tests,high,src/lib/scoring.ts,22,"totalScore, hindsightTotal and scoreDelta are untested.",,"Test totalScore's exact sum, hindsightTotal's null-unless-all-four rule, and scoreDelta's sign.",no-tests-scoring
B3-05,B,B3,test-reviewer,Calibration function untested,tests,high,src/lib/calibration.ts,16,"computeCalibration is untested, including the empty-input null branch and two fallback expressions.",,"Test empty input, known deltas, and exclusion of ideas without hindsight from count.",no-tests-calibration
B3-06,B,B3,test-reviewer,Session token verification untested,tests,high,src/lib/auth.ts,40,"verifySessionToken returning null on tampered/expired/wrong-secret tokens, and getSecretKey throwing on a missing or short secret, are untested.",,"Test a round trip, a flipped character, and an expired token.",no-tests-session-verification
B3-07,B,B3,test-reviewer,Validation schemas untested,tests,high,src/lib/validation.ts,3,"The 1-5 integer bound, outcome schema, and update-schema optionality are untested.",,"Test 0, 6, 2.5, string input, ACTIVE status rejection, and description default.",no-tests-validation
B3-08,B,B3,test-reviewer,Proxy redirect untested,tests,high,src/proxy.ts,10-16,The redirect-to-login branch and the pass-through branch of the proxy are untested.,,Call proxy on /ideas with no cookie and with a valid cookie.,no-tests-proxy-redirect
B3-09,B,B3,test-reviewer,Ownership scoping untested,tests,high,src/app/api/ideas/[id]/route.ts,14,"Owner scoping via findFirst({id,userId}), the only thing keeping ideas private, is untested across GET, PATCH, DELETE, outcome, share and unshare.",,"Test that user B gets 404 on every route against user A's idea, and that A's idea is unchanged.",no-tests-ownership-scoping
B3-10,B,B3,test-reviewer,Share token lifecycle untested,tests,high,src/app/api/ideas/[id]/share/route.ts,21,"Token reuse on repeat POST, rotation on regenerate, DELETE clearing the token, and the malformed-body fallback are all untested.",,Add tests for each branch.,no-tests-share-tokens
B3-11,B,B3,test-reviewer,Public share payload untested,tests,high,src/app/api/share/[token]/route.ts,13,"The unauthenticated read endpoint's valid-token, unknown-token, and revoked-token behavior, and its field allow-list, are untested.",A later edit could widen the hand-built field allow-list without a test catching it.,"Test valid, unknown, and revoked tokens and assert no userId/shareToken leak.",no-tests-public-share-payload
B3-12,B,B3,test-reviewer,Auth route branches untested,tests,high,src/app/api/auth/register/route.ts,20,"The duplicate-email 409, bad-input 400, and both login 401 branches are untested.",,Add tests for each branch and the success cookie.,no-tests-auth-routes
B3-13,B,B3,test-reviewer,Invalid status filter silently ignored,correctness,high,src/app/api/ideas/route.ts,13,"An invalid ?status= value is silently ignored, and this plus the descending totalScore sort are untested.",,Validate the status parameter and add tests for both behaviors.,invalid-status-filter-ignored
B3-14,B,B3,test-reviewer,Outcome recording untested,tests,high,src/app/api/ideas/[id]/outcome/route.ts,26,"Recording an outcome, the core feature, is untested.",,"Assert status, outcome, outcomeRecordedAt and the four h* scores persist and delta matches.",no-tests-outcome-recording
B3-15,B,B3,docs-reviewer,README typo undercuts sharing feature,docs,medium,README.md,10,'unshareable/unguessable link' contradicts the sharing feature and could read as sharing being disabled.,,Change to 'unguessable' (test-reviewer suggested 'unlisted').,readme-typo-unshareable-unguessable
B3-16,B,B3,docs-reviewer,Missing pnpm prerequisite,docs,medium,README.md,23,"Prerequisites omit pnpm, though package.json pins pnpm@10.29.1 and every README command uses it.",,Add pnpm to the prerequisites list.,readme-missing-pnpm-prerequisite
B3-17,B,B3,docs-reviewer,API routes undocumented,docs,medium,README.md,46,"'Key routes' lists only pages; the API routes, including the regenerate option documented only in a code comment, are undocumented.",,"Add a table of API routes with method, auth and purpose.",readme-api-undocumented
B3-18,B,B3,docs-reviewer,No production or limitations section,docs,medium,README.md,59,"There is no production or limitations section; it should note db:migrate is dev-only and list absent login rate limiting, password reset, email verification, session revocation, and tests.",,Add a production/limitations section.,readme-no-limitations-section
B3-19,B,B3,infra-reviewer,No production migration path,infra,medium,package.json,12,"The only migration script is prisma migrate dev, a development command that can prompt and reset the database; nothing runs prisma migrate deploy.",,Add a db:deploy script and document it.,no-deployment-pipeline
B3-20,B,B3,infra-reviewer,No teardown for Postgres volume,infra,medium,docker-compose.yml,11-15,Data lives in the named volume idealog_pgdata with no way to remove it; docker compose down keeps the volume.,,"Add a db:down script running docker compose down -v, or document removal.",docker-volume-no-teardown
B3-21,B,B3,security-reviewer,Postgres exposed with default creds,infra,medium,docker-compose.yml,9-10,Postgres is published on all host interfaces with the credentials idealog/idealog.,,Bind to 127.0.0.1:5432:5432.,postgres-exposed-default-creds
B3-22,B,B3,security-reviewer,"Secret check is length-only, placeholder passes",security,medium,src/lib/auth.ts,9,"The secret check is length-only, so the .env.example placeholder passes it.",,"Reject the placeholder, at least when NODE_ENV is production.",jwt-secret-placeholder-accepted
B3-23,B,B3,security-reviewer,"No rate limiting, bcrypt CPU-exhaustion target",security,medium,src/app/api/auth/login/route.ts,7,"There is no rate limiting or lockout on login or register, and both run bcrypt at cost 12 on unauthenticated requests, making them a cheap CPU-exhaustion target.",,Add per-IP and per-account throttling.,no-rate-limiting-bcrypt-cpu-cost
B3-24,B,B3,security-reviewer,Login timing reveals registered emails,security,medium,src/app/api/auth/login/route.ts,19-22,"The not-found path returns before any bcrypt work, so response timing reveals which emails are registered.",,Run bcrypt.compare against a dummy hash on the not-found path.,account-enumeration
B3-25,B,B3,security-reviewer,Registration 409 enumerates accounts,security,medium,src/app/api/auth/register/route.ts,19-25,"The 409 'account already exists' response lets someone enumerate registered emails, and with no rate limit this can be done in bulk (also noted by docs-reviewer).",,Decide this deliberately or return a generic response.,account-enumeration
