B1.2-15,B2c,B1.2,security-reviewer,Postgres exposed with default creds,infra,medium,docker-compose.yml,9-10,Postgres is published on all interfaces with credentials idealog/idealog.,,Bind to 127.0.0.1:5432:5432.,postgres-exposed-default-creds,none
B1.2-16,B2c,B1.2,infra-reviewer,No healthcheck on Postgres service,infra,medium,docker-compose.yml,4,No healthcheck means pnpm db:up then pnpm db:migrate can fail because Postgres isn't accepting connections yet.,First-run db:migrate fails intermittently.,Add a pg_isready healthcheck and use up -d --wait in db:up.,docker-no-healthcheck,none
B1.2-17,B2c,B1.2,infra-reviewer,No production migration path,infra,medium,package.json / README.md,10 / 20-36,"Only migration command is prisma migrate dev, a local-dev command; nothing documents reaching a non-local database.",,Add a db:deploy script running prisma migrate deploy; add a Running in production README section.,no-deployment-pipeline,none
B1.2-18,B2c,B1.2,infra-reviewer,No teardown script for db volume,infra,medium,package.json,11,No teardown script for db:up; docker compose down leaves the idealog_pgdata volume.,,"Add a db:down script, or document docker compose down -v.",docker-volume-no-teardown,none
B1.2-19,B2c,B1.2,infra-reviewer,No engines field for Node version,docs,medium,package.json,1,No engines field though README claims Node 20+.,,Add an engines field matching the Next 16.3.5 minimum.,readme-engines-field-missing,none
B1.2-20,B2c,B1.2,security-reviewer,pnpm audit: deepmerge-ts high-severity advisory,dependencies,medium,pnpm-lock.yaml,,"pnpm audit reports one high-severity advisory GHSA-ggr8-5vv4-36mx (deepmerge-ts@7.1.5, stack-exhaustion) via prisma > @prisma/config, not shown reachable from a request path.",,Bump prisma when a fixed release exists or add a pnpm override; consider moving prisma to devDependencies.,pnpm-audit-deepmerge-ts-high,"pnpm audit: ""pnpm audit reports one high-severity advisory, GHSA-ggr8-5vv4-36mx (a stack-exhaustion crash)"""
B1.2-21,B2c,B1.2,security-reviewer,No rate limiting on login/register,security,medium,src/app/api/auth/login/route.ts,17,No rate limiting or lockout on login or register; bcrypt cost 12 is also a CPU-exhaustion target.,,Add per-IP and per-account throttling.,no-rate-limiting-bcrypt-cpu-cost,none
B1.2-22,B2c,B1.2,security-reviewer,Registration 409 enumerates emails,security,medium,src/app/api/auth/register/route.ts,23-28,The 409 'account already exists' response lets anyone enumerate registered emails.,,Return a neutral response or explicitly accept the tradeoff.,account-enumeration,none
B1.2-23,B2c,B1.2,security-reviewer,No session revocation on logout,security,medium,src/lib/session.ts,22-28,"Sessions are stateless 30-day JWTs; logout only deletes the cookie, so a stolen token stays valid until expiry.",,Shorten TTL or add a tokenVersion on User checked in getCurrentUser.,no-session-revocation-account-lifecycle,none
B1.2-24,B2c,B1.2,docs-reviewer,No ADRs for key decisions,docs,medium,README.md,1-60,"No docs/decisions/ exists for Postgres+Prisma, JWT sessions, and CHECK constraints choices.",,Add an ADR for the auth and session model at minimum.,no-adr-for-key-decisions,none
B1.2-25,B2c,B1.2,docs-reviewer,No known-limitations section,docs,medium,README.md,1-60,"No limitations are stated: no tests, no password reset, no email verification, no rate limiting, no session revocation.",,Add a Known limitations section naming each.,readme-no-limitations-section,none
B1.2-26,B2c,B1.2,docs-reviewer,API routes undocumented,docs,medium,README.md,44-51,"Key routes table lists pages only, omitting nine API endpoints including public GET /api/share/[token].",,"Add an API table with method, path, auth requirement and purpose.",readme-api-undocumented,none
B1.2-27,B2c,B1.2,docs-reviewer,README wording contradicts sharing feature,docs,medium,README.md,9,'unshareable/unguessable link' contradicts the sharing feature.,,Reword to say the link is unguessable.,readme-typo-unshareable-unguessable,none
B1.2-28,B2c,B1.2,docs-reviewer,"CHECK constraints only in migration, untested",infra,medium,prisma/migrations/20260917213700_score_checks/migration.sql,1-10,"CHECK constraints exist only in a hand-written migration, invisible in schema.prisma and never exercised by a test.",A squash or reset from schema alone would silently drop them.,Add a schema.prisma comment and README note; add an integration test inserting a score of 6.,db-schema-drift-missing-checks-redundant-index,none
B1.2-29,B2c,B1.2,test-reviewer,"Invalid status filter silently ignored, untested",correctness,medium,src/app/api/ideas/route.ts,13-25,An invalid ?status= value is silently ignored and returns all ideas; ranking by totalScore descending is also untested.,,Validate the status parameter and test both behaviors.,invalid-status-filter-ignored,none
B1.2-30,B2c,B1.2,test-reviewer,outcomeRecordedAt needs controlled clock for testing,tests,medium,src/app/api/ideas/[id]/outcome/route.ts,26-37,outcomeRecordedAt is set from new Date(); testing it needs a controlled clock or range assertion.,,,no-tests-outcome-recording,none
B1.2-31,B2c,B1.2,test-reviewer,PATCH allows status change without outcome data,correctness,low,src/app/api/ideas/[id]/route.ts,37-40,"PATCH passes parsed.data straight to update; a caller can set status to DONE/ABANDONED with no outcome, and can rewrite prediction scores after hindsight recorded.",Corrupts calibration numbers.,,status-outcome-inconsistency-db,none
B1.2-32,B2c,B1.2,test-reviewer,Login timing reveals registered emails,security,low,src/app/api/auth/login/route.ts,19-29,"Unknown-user path skips bcrypt so response timing differs from wrong-password path, leaking whether an email is registered.",,,account-enumeration,none
B1.2-33,B2c,B1.2,test-reviewer,No instructions for running tests,docs,low,README.md,,There are no instructions for running tests in the README.,,,readme-missing-test-run-instructions,none
B1.2-34,B2c,B1.2,orchestrator,"Scope context missing, ADRs listed as needed",meta,informational,,,"No engagement/ or docs/decisions/ exists; scope-reviewer lists Prisma, session/auth model, share links, and scoring/calibration as likely needing ADRs. Single commit b38c5b0, ~6,985 lines across 60 files.",,,meta-scope-not-checked,none
B1.2-35,B2c,B1.2,security-reviewer,Security scanners ran clean but limited scope,meta,informational,,,"gitleaks and semgrep (p/security-audit, p/secrets) ran clean but semgrep covered src and prisma only; pnpm audit ran; npm audit unavailable (no lockfile) and pip-audit not installed.",,,security-tools-ran-clean,"gitleaks/semgrep/pnpm audit: ""gitleaks and semgrep (p/security-audit, p/secrets) ran clean, but semgrep covered src and prisma only. pnpm audit ran."""
B1.2-36,B2c,B1.2,infra-reviewer,Infra scanners unavailable or failed,meta,informational,,,"actionlint, tflint, hadolint not installed; checkov installed but failed on docker-compose.yml with an SSL error; review was manual.",,,meta-infra-tools-not-run,"checkov: ""checkov is installed but failed on docker-compose.yml with an SSL error reaching api0.prismacloud.io, so it produced no results"""
B1.2-37,B2c,B1.2,test-reviewer,No test tooling to run,meta,informational,,,"Nothing was run: no runner, no scripts/check.sh, no CI; pnpm lint is the project's only automated check.",,,meta-test-tools-not-run,none
B1.2-38,B2c,B1.2,docs-reviewer,Could not verify Next.js version claim,meta,informational,,,node_modules is not installed so docs-reviewer could not check README's Next.js 16 claims.,,,meta-node-modules-absent,none
B1.2-39,B2c,B1.2,orchestrator,No infra surface beyond local dev,meta,informational,,,"No CI workflows, IaC, Dockerfile or deploy scripts, so most infra block conditions don't apply.",,,meta-ci-infra-not-applicable,none
B1.2-40,B2c,B1.2,orchestrator,"No hardcoded cloud identifiers, env gitignored, image pinned",security,informational,,,No cloud identifiers hardcoded; .env* gitignored except .env.example; postgres:16-alpine pinned to a major tag.,,,security-checks-sound-positive,none
B1.2-41,B2c,B1.2,orchestrator,"Share routes public by design, safe",security,informational,,,/api/share/[token] and /s/[token] are public by design; tokens are 24-char nanoids; routes return no owner PII.,,,share-links-payload-sound-positive,none
B1.2-42,B2c,B1.2,orchestrator,Session cookie flags correct,security,informational,,,"Session cookie is httpOnly, sameSite lax, secure in production.",,,security-checks-sound-positive,none
B1.2-43,B2c,B1.2,orchestrator,Proxy guards only /ideas but defense in depth,correctness,informational,src/proxy.ts,,"proxy.ts guards only /ideas, but pages and API routes re-check the session.",,,proxy-matcher-coverage-gap,none
B1.2-44,B2c,B1.2,orchestrator,Unvalidated regenerate field harmless,security,informational,src/app/api/ideas/[id]/share/route.ts,22,The unvalidated regenerate body field is harmless because the route is owner-scoped.,,,share-regenerate-field-harmless-positive,none
B1.2-45,B2c,B1.2,orchestrator,.claude/ ignored as instructed,meta,informational,,,.claude/ was ignored as instructed.,,,claude-dir-ignored-as-instructed,none
B2.2-01,B2c,B2.2,orchestrator,Individual verdicts and vacuous scope PASS,meta,informational,,,"Individual verdicts: docs-reviewer BLOCK, test-reviewer BLOCK, security-reviewer WARN, infra-reviewer WARN, scope-reviewer PASS; the PASS means nothing to check against.",,,meta-scope-not-checked,none
B2.2-02,B2c,B2.2,docs-reviewer,"JWT_SECRET keep-defaults advice, kept Blocking",docs,high,README.md,27,README says fill in JWT_SECRET (or keep the defaults); the .env.example placeholder is 33 chars and passes the length guard; deploying on default publishes the signing key. security-reviewer rated it Should fix but it was kept at Blocking.,Anyone who keeps the default deploys with a published signing key and can forge a session for any user id.,"Document what the secret does, give a generation command, remove 'or keep the defaults', make getSecretKey() reject the placeholder.",jwt-secret-placeholder-accepted,none
B2.2-03,B2c,B2.2,docs-reviewer,.env.example vars undocumented,docs,high,.env.example,1-2,"Neither variable has a comment saying what it is, whether required, or what breaks if wrong.",,DATABASE_URL should say it must match docker-compose.yml locally and point at the real database elsewhere.,jwt-secret-placeholder-accepted,none
B2.2-04,B2c,B2.2,test-reviewer,No test runner or test script,tests,high,package.json,5,"About 6,900 lines of new behavior have no tests, no runner, no test script and no CI workflow.",Nothing would notice if any behavior broke.,Add a runner (Vitest suits this stack) and cover the findings that follow.,no-tests,none
B2.2-05,B2c,B2.2,test-reviewer,Scoring functions untested,tests,high,src/lib/scoring.ts,28,"hindsightTotal, scoreDelta and totalScore, the core of the product, have no test.",,"Assert null-if-any-null, hindsight-minus-prediction, and the four-score sum.",no-tests-scoring,none
B2.2-06,B2c,B2.2,test-reviewer,Calibration function untested,tests,high,src/lib/calibration.ts,14,"computeCalibration has no test: empty/no-hindsight null return, hindsight??predicted fallback, delta??0 fallback.",,"Test the null return, correct averages for a mixed set (+2 and -1 gives 0.5), and exclusion of no-outcome ideas.",no-tests-calibration,none
B2.2-07,B2c,B2.2,test-reviewer,Ownership scoping untested,tests,high,src/app/api/ideas/[id]/route.ts,14,"The per-user ownership check keeps ideas private and nothing tests it, across GET/PATCH/DELETE/outcome/share.",,Add a two-user test where B gets 404 on GET/PATCH/DELETE of A's idea.,no-tests-ownership-scoping,none
B2.2-08,B2c,B2.2,test-reviewer,Share token lifecycle untested,tests,high,src/app/api/ideas/[id]/share/route.ts,21,"Share lifecycle untested: POST creates/reuses a token, regenerate rotates it, DELETE nulls it and the old token 404s.",A broken revocation or rotation could leave an old share token valid without any test catching it.,"Add tests for reuse, rotation, and revocation.",no-tests-share-tokens,none
B2.2-09,B2c,B2.2,test-reviewer,Public share payload untested,tests,high,src/app/api/share/[token]/route.ts,16,"The public endpoint builds its response from an explicit field list, and no test checks it.",A future refactor could leak userId or shareToken in the public response without a test catching it.,"Assert the response omits userId, id and shareToken; assert unknown-token 404.",no-tests-public-share-payload,none
B2.2-10,B2c,B2.2,test-reviewer,verifySessionToken untested,tests,high,src/lib/auth.ts,40,verifySessionToken's explicit and catch-all null returns are untested.,,"Assert tampered, expired, wrong-secret and no-sub tokens all return null; valid token round-trips.",no-tests-session-verification,none
B2.2-11,B2c,B2.2,test-reviewer,Proxy route guard untested,tests,high,src/proxy.ts,8,The route guard redirecting /ideas* to /login on missing/invalid cookie is untested.,,Test unauthenticated redirect and valid-cookie pass-through.,no-tests-proxy-redirect,none
B2.2-12,B2c,B2.2,test-reviewer,Auth route branches untested,tests,high,src/app/api/auth/register/route.ts / login/route.ts,"19 / 20,25","Duplicate email 409, invalid input 400, email-case collision, and the two login 401 branches are untested.",,Add tests for each branch.,no-tests-auth-routes,none
B2.2-13,B2c,B2.2,test-reviewer,Validation schemas untested,tests,high,src/lib/validation.ts,29,The schemas defining the API contract have no tests.,,"Assert score bounds, outcomeSchema requirements and ACTIVE rejection, partial-update acceptance.",no-tests-validation,none
B2.2-14,B2c,B2.2,test-reviewer,Outcome recording untested,tests,high,src/app/api/ideas/[id]/outcome/route.ts,26,"Recording an outcome sets outcomeRecordedAt and hindsight fields, and nothing tests it.",,"Assert status flip, hindsight persistence, and correct delta.",no-tests-outcome-recording,none
B2.2-15,B2c,B2.2,docs-reviewer,README wording contradicts sharing feature,docs,medium,README.md,9,'unshareable/unguessable link' contradicts the feature the sentence describes.,,Reword to 'unguessable'.,readme-typo-unshareable-unguessable,none
B2.2-16,B2c,B2.2,docs-reviewer,API routes undocumented,docs,medium,README.md,46-53,"Key routes table lists only pages, not the nine /api/** handlers including public GET /api/share/[token].",,Add an API table and state whether the endpoint is intended or leftover.,readme-api-undocumented,none
B2.2-17,B2c,B2.2,docs-reviewer,No production deploy section,docs,medium,README.md,21-31,"Only run path is local dev; no mention of prisma migrate deploy, target-env vars, or NODE_ENV=production secure cookies.",,Add a short Running in production section.,no-deployment-pipeline,none
B2.2-18,B2c,B2.2,docs-reviewer,No known-limitations section,docs,medium,README.md,59-65,"Notes section states no limitations; should list stateless-JWT logout gap, no password reset/verification, share link exposure.",,Add the limitations list.,readme-no-limitations-section,none
B2.2-19,B2c,B2.2,docs-reviewer,No ADRs for hard-to-reverse choices,docs,medium,README.md,61-63,No docs/decisions/ exists for Postgres and hand-rolled JWT/bcryptjs auth choices.,,"Add one short ADR for each, or extend the README with why and consequences.",no-adr-for-key-decisions,none
B2.2-20,B2c,B2.2,docs-reviewer,No teardown for Postgres volume,infra,medium,docker-compose.yml,12,idealog_pgdata volume survives docker compose down; no db:down/reset script or documentation.,,Add db:down and db:reset scripts and document them.,docker-volume-no-teardown,none
B2.2-21,B2c,B2.2,infra-reviewer,No healthcheck on Postgres service,infra,medium,docker-compose.yml,3,db service has no healthcheck; docker compose up -d returns before Postgres accepts connections.,A first pnpm db:up then pnpm db:migrate can fail.,Add a pg_isready healthcheck and use up -d --wait.,docker-no-healthcheck,none
B2.2-22,B2c,B2.2,infra-reviewer,Dev database restarts on every reboot,infra,medium,docker-compose.yml,4,restart: unless-stopped on a local dev database means it restarts after every reboot and runs until stopped.,,"Drop it or use restart: ""no"".",docker-restart-unless-stopped-issue,none
B2.2-23,B2c,B2.2,security-reviewer,Postgres exposed with default creds,infra,medium,docker-compose.yml,6-10,Postgres uses hardcoded password idealog and publishes 5432:5432 on all host interfaces.,,Bind to 127.0.0.1:5432:5432 and take the password from an env var.,postgres-exposed-default-creds,none
B2.2-24,B2c,B2.2,docs-reviewer,"CHECK constraints only in migration, not schema",infra,medium,prisma/schema.prisma,26-57,The 1-5 CHECK constraints exist only in raw SQL in the migration; schema.prisma neither shows nor mentions them.,,Add a comment pointing at the migration; note in README they are hand-written.,db-schema-drift-missing-checks-redundant-index,none
B2.2-25,B2c,B2.2,test-reviewer,DB CHECK constraints untested,tests,medium,prisma/migrations/20260917213700_score_checks/migration.sql,2,Nothing tests the CHECK constraints; a later migration could silently drop them.,,Add an integration test against Postgres inserting an out-of-range score.,no-tests-db-constraints,none
B2.2-26,B2c,B2.2,test-reviewer,"Invalid status filter silently ignored, untested",correctness,medium,src/app/api/ideas/route.ts,13,An invalid ?status= is silently ignored and returns all ideas; the descending totalScore ranking is also untested.,,Test three ideas with differing totals and a status filter.,invalid-status-filter-ignored,none
B2.2-27,B2c,B2.2,test-reviewer,PATCH partial-update / mass-assignment untested,tests,medium,src/app/api/ideas/[id]/route.ts,37,PATCH passes parsed.data straight to prisma.update; no test shows the effect on untouched fields or unknown-key stripping.,,Add tests asserting partial update behavior and Zod key stripping.,no-tests-partial-update-mass-assignment,none
B2.2-28,B2c,B2.2,security-reviewer,No rate limiting on login/register,security,medium,src/app/api/auth/login/route.ts,7,No rate limiting or lockout on login or register; bcrypt at cost 12 doesn't stop online guessing.,,Add per-IP and per-account throttling.,no-rate-limiting-bcrypt-cpu-cost,none
B2.2-29,B2c,B2.2,security-reviewer,Login timing reveals registered emails,security,medium,src/app/api/auth/login/route.ts,20-22,Unknown email returns before verifyPassword runs; response time reveals which emails are registered.,,Run a bcrypt compare against a dummy hash on the not-found path.,account-enumeration,none
B2.2-30,B2c,B2.2,security-reviewer,Registration 409 enumerates accounts,security,medium,src/app/api/auth/register/route.ts,19-25,The 409 'account already exists' response reveals whether an email is registered.,"Combined with no rate limit, allows bulk account enumeration.",Decide on this trade-off deliberately.,account-enumeration,none
B2.2-31,B2c,B2.2,security-reviewer,pnpm audit: deepmerge-ts high-severity advisory,dependencies,medium,pnpm-lock.yaml,1028,"deepmerge-ts@7.1.5 has a high-severity advisory (GHSA-ggr8-5vv4-36mx, stack exhaustion), reachable only through prisma > @prisma/config; prisma ships in production dependencies.",,"Move prisma to devDependencies, run prisma generate/migrate in the build step, upgrade when patched.",pnpm-audit-deepmerge-ts-high,"pnpm audit: ""deepmerge-ts@7.1.5 has a high-severity advisory (GHSA-ggr8-5vv4-36mx, fixed in >=8.0.0, stack exhaustion)"""
B2.2-32,B2c,B2.2,docs-reviewer,"PATCH can reach DONE without outcome, no owner",correctness,low,src/app/api/ideas/[id]/route.ts,20-43,"PATCH can set status to DONE/ABANDONED without outcome or hindsight scores, while outcomeSchema requires them; unresolved, no roster owner.",,Needs a human decision.,status-outcome-inconsistency-db,none
B2.2-33,B2c,B2.2,orchestrator,Scope PASS confirmed via git ls-files,meta,informational,,,"No engagement/ and no docs/decisions/, confirmed by scope-reviewer with git ls-files; PASS is not scope approval.",,,meta-scope-not-checked,none
B2.2-34,B2c,B2.2,orchestrator,Single unreviewed commit is the whole app,meta,informational,,,"One commit, b38c5b0 'raw generated build, unreviewed', ~60 files and 7,000 lines, diffed from the empty tree; no reviewer said it was too big to review.",,,meta-single-commit-context,none
B2.2-35,B2c,B2.2,security-reviewer,"Security scanners ran, one finding surfaced",meta,informational,,,"security-reviewer ran a tracked-secret-file check, gitleaks (history and worktree), semgrep p/security-audit+p/secrets on src/prisma, and pnpm audit; only the deepmerge-ts finding surfaced; pip-audit not installed and not relevant.",,,security-tools-ran-clean,"gitleaks/semgrep/pnpm audit: ""gitleaks (history and worktree), semgrep with p/security-audit and p/secrets on src and prisma, and pnpm audit. Only the deepmerge-ts finding surfaced."""
B2.2-36,B2c,B2.2,orchestrator,docs and scope ran no scanners by design,meta,informational,,,"docs-reviewer and scope-reviewer ran no scanners, by design.",,,no-scanners-by-design,none
B2.2-37,B2c,B2.2,test-reviewer,No test tooling to run,meta,informational,,,"test-reviewer ran nothing; there is no test runner or check script, so its review is from reading only.",,,meta-test-tools-not-run,none
B2.2-38,B2c,B2.2,infra-reviewer,"checkov failed, other infra tools missing",meta,informational,,,"infra-reviewer's checkov failed on docker-compose.yml with an SSL certificate error reaching api0.prismacloud.io and produced no results; actionlint, tflint and hadolint are not installed.",,,meta-infra-tools-not-run,"checkov: ""checkov failed on docker-compose.yml with an SSL certificate error reaching api0.prismacloud.io and produced no results"""
B2.2-39,B2c,B2.2,docs-reviewer,Could not verify Node version claim,meta,informational,,,docs-reviewer couldn't verify 'Node 20+' against Next 16.3.5 because node_modules isn't installed.,,,meta-node-modules-absent,none
B2.2-40,B2c,B2.2,orchestrator,"Infra scope is thin, no CI at all",meta,informational,,,"Only infrastructure is docker-compose.yml; no workflows, Dockerfile, IaC or cloud resources; no CI gates lint/typecheck/build; no production deploy path.",,,meta-ci-infra-not-applicable,none
B2.2-41,B2c,B2.2,security-reviewer,Authorization looks right across idea routes,security,informational,,,"Every /api/ideas/** handler calls requireUser() and scopes by userId; Zod strips unknown keys; no dangerouslySetInnerHTML, raw SQL, shell calls or open redirects found; share token nanoid(24) with allowlisted response.",,,security-checks-sound-positive,none
B2.2-42,B2c,B2.2,orchestrator,Session cookie flags and JWT model noted,security,informational,,,"Session cookie is httpOnly, sameSite lax, secure in production, HS256 JWT with 30-day expiry; logout only clears the cookie; getCurrentUser invalidates deleted users.",,,security-checks-sound-positive,none
B2.2-43,B2c,B2.2,orchestrator,README bcrypt vs bcryptjs naming mismatch,docs,informational,README.md,"9,18",README says bcrypt in one place and bcryptjs in another; the package is bcryptjs.,,,readme-bcrypt-bcryptjs-mismatch,none
B2.2-44,B2c,B2.2,orchestrator,bcryptjs 72-byte truncation vs 200-char schema,security,informational,src/lib/validation.ts,6,bcryptjs ignores input past 72 bytes while passwordSchema allows 200 characters.,,,bcrypt-72-byte-truncation-mismatch,none
B2.2-45,B2c,B2.2,orchestrator,Postgres image tag pinned to major version,infra,informational,docker-compose.yml,,"postgres:16-alpine pins the major version only, acceptable for local dev.",,,docker-restart-policy-and-tag-notes,none
B2.2-46,B2c,B2.2,scope-reviewer,"New dependencies listed, some unjustified",dependencies,informational,,,"New dependencies (@prisma/client, prisma, bcryptjs, jose, nanoid, zod) listed; no justification found for nanoid and zod since there is no PR description.",,,dependencies-choice-undocumented,none
B2.2-47,B2c,B2.2,test-reviewer,Route tests need a database strategy decision,tests,informational,,,Route tests need a database: choice is open between a Postgres test DB via docker-compose.yml or a mocked Prisma client.,,,test-db-strategy-choice-open,none
B2.2-48,B2c,B2.2,orchestrator,Scope and docs charters disagree on ADR blocking,meta,informational,,,scope-reviewer's charter says it blocks on constraining decisions with no ADR but returned PASS with the gap only in Noted; docs-reviewer rated the same gap Should fix; a gap between the two charters.,,,meta-charter-gap-scope-vs-docs,none
B3.2-01,B2c,B3.2,orchestrator,"Verdicts: security/docs/test BLOCK, infra/scope PASS",meta,informational,,,"Verdicts: security-reviewer BLOCK, docs-reviewer BLOCK, test-reviewer BLOCK, infra-reviewer PASS, scope-reviewer PASS (vacuous).",,,meta-scope-not-checked,none
B3.2-02,B2c,B3.2,security-reviewer,Postgres exposed with default creds,infra,high,docker-compose.yml,"7,10",Postgres runs with hardcoded password idealog and 5432:5432 published on all interfaces; anyone on the same network can log in as idealog/idealog.,"If this ever ran on a reachable host, treat that database as compromised.","Read the password from an untracked .env, bind to 127.0.0.1:5432:5432, use an obvious placeholder in .env.example.",postgres-exposed-default-creds,none
B3.2-03,B2c,B3.2,docs-reviewer,DATABASE_URL and JWT_SECRET undocumented,docs,high,README.md / .env.example,27 / 1-2,"Neither var is explained: purpose, required-ness, 16-char minimum, failure mode all missing; a missing secret makes auth.ts throw (500s) and proxy.ts treats every request as logged out.",,Add an env var section and a generation command such as openssl rand -base64 32.,jwt-secret-placeholder-accepted,none
B3.2-04,B2c,B3.2,test-reviewer,"No test runner, script, files, or CI",tests,high,package.json,5,"No test runner, no test script, no test files, and no CI.",,Add a runner (Vitest) and a test script.,no-tests,none
B3.2-05,B2c,B3.2,test-reviewer,Scoring functions untested,tests,high,src/lib/scoring.ts,25-47,"totalScore, hindsightTotal and scoreDelta are untested.",,"Assert hindsightTotal null-on-any-null, sum correctness, and scoreDelta sign.",no-tests-scoring,none
B3.2-06,B2c,B3.2,test-reviewer,Calibration function untested,tests,high,src/lib/calibration.ts,14-31,"computeCalibration is untested: null for empty/no-hindsight, hindsight??predicted fallback, per-dimension/avgTotalDelta averages.",,"Cover null return, fallback, and averages.",no-tests-calibration,none
B3.2-07,B2c,B3.2,test-reviewer,Public share endpoint untested,tests,high,src/app/api/share/[token]/route.ts,9-36,"The public, unauthenticated share endpoint is untested: response should omit userId/id/shareToken; unknown and revoked tokens should 404.",A later spread of ...idea here would leak private data unnoticed.,Assert the response shape and 404 cases.,no-tests-public-share-payload,none
B3.2-08,B2c,B3.2,test-reviewer,Ownership scoping untested,tests,high,src/app/api/ideas/[id]/route.ts,"14,25,50","Per-user ownership scoping via findFirst({id,userId}) is untested on GET, PATCH and DELETE, plus outcome/share routes.",,"Create an idea as A, assert B gets 404 on every route and the idea is unchanged.",no-tests-ownership-scoping,none
B3.2-09,B2c,B3.2,test-reviewer,Share-link behavior untested,tests,high,src/app/api/ideas/[id]/share/route.ts,18-22,"POST idempotency/reuse, regenerate rotation, DELETE nulling, and the malformed-body .catch fallback are untested.",,Cover all four cases.,no-tests-share-tokens,none
B3.2-10,B2c,B3.2,test-reviewer,Validation schemas untested,tests,high,src/lib/validation.ts,3-47,No Zod schema is tested though the README claims the ranges are enforced.,,"Cover score bounds, non-integers, missing values, outcomeSchema, emailSchema normalization.",no-tests-validation,none
